Wall time,Step,Value
1749541919.4253857,1,3.2951152324676514
1749541933.687638,2,2.452463388442993
1749541947.658018,3,1.9735814332962036
1749541961.7229125,4,1.7760015726089478
1749541975.7023277,5,1.6935588121414185
1749541989.5408537,6,1.636104941368103
1749542003.7523448,7,1.602979063987732
1749542017.6948683,8,1.5621739625930786
1749542031.580863,9,1.534359335899353
1749542045.5243835,10,1.5182900428771973
1749542059.4375591,11,1.501535415649414
1749542073.3608987,12,1.470615029335022
1749542087.381651,13,1.4534518718719482
1749542101.3438952,14,1.4413626194000244
1749542115.2682245,15,1.4234296083450317
1749542129.1906426,16,1.4033492803573608
1749542143.125663,17,1.3862841129302979
1749542157.0266247,18,1.3832229375839233
1749542170.9464445,19,1.3652313947677612
1749542184.879682,20,1.3625239133834839
1749542198.828137,21,1.3454877138137817
1749542212.8250194,22,1.342203140258789
1749542226.7120636,23,1.3293343782424927
1749542240.5875118,24,1.327309489250183
1749542254.4929252,25,1.3175289630889893
1749542268.4344301,26,1.3126369714736938
1749542282.3392415,27,1.3075847625732422
1749542296.2438235,28,1.2914987802505493
1749542310.1319883,29,1.2893297672271729
1749542324.027052,30,1.2888929843902588
1749542337.9247887,31,1.2826722860336304
1749542351.822009,32,1.2754400968551636
1749542365.7118309,33,1.2693688869476318
1749542379.612934,34,1.270594835281372
1749542393.5031755,35,1.2665228843688965
1749542407.4333038,36,1.2593613862991333
1749542421.3343494,37,1.2527735233306885
1749542435.24555,38,1.2489113807678223
1749542449.1320565,39,1.2496675252914429
1749542463.0729377,40,1.2477167844772339
1749542476.9903803,41,1.2393442392349243
1749542490.9510818,42,1.2355784177780151
1749542504.88281,43,1.2328848838806152
1749542518.8448083,44,1.231050729751587
1749542532.8158822,45,1.2274681329727173
1749542546.7775233,46,1.2256624698638916
1749542560.7522428,47,1.2181366682052612
1749542574.6790605,48,1.220568060874939
1749542588.6005425,49,1.215692400932312
1749542602.5594542,50,1.2160848379135132
1749542616.5287466,51,1.2142399549484253
1749542630.4702246,52,1.2064032554626465
1749542644.3907666,53,1.201415777206421
1749542658.3613882,54,1.2002294063568115
1749542672.3005505,55,1.1980555057525635
1749542686.2752893,56,1.1969462633132935
1749542700.1707416,57,1.1988633871078491
1749542714.1743972,58,1.193547010421753
1749542728.1209588,59,1.1892200708389282
1749542742.0386143,60,1.1936331987380981
1749542755.9839282,61,1.1918288469314575
1749542769.905662,62,1.186885118484497
1749542783.8595264,63,1.1856377124786377
1749542797.8555908,64,1.183124303817749
1749542811.803471,65,1.1845976114273071
1749542825.7713282,66,1.179573655128479
1749542839.699285,67,1.1744011640548706
1749542853.690481,68,1.175406813621521
1749542867.6413925,69,1.1773115396499634
1749542881.562764,70,1.1695266962051392
1749542895.5262883,71,1.1691008806228638
1749542909.449638,72,1.171433925628662
1749542923.4252188,73,1.1658456325531006
1749542937.4223576,74,1.1637332439422607
1749542951.4111931,75,1.1632851362228394
1749542965.3742068,76,1.1636091470718384
1749542979.348508,77,1.1643322706222534
1749542993.2764313,78,1.1582313776016235
1749543007.241464,79,1.1574550867080688
1749543021.198504,80,1.1597732305526733
1749543035.1655145,81,1.1538329124450684
1749543049.1421015,82,1.1532373428344727
1749543063.0569515,83,1.1521129608154297
1749543077.0098188,84,1.1519159078598022
1749543090.9669273,85,1.1492191553115845
1749543104.95886,86,1.1449387073516846
